src,dst,weight
Serum Institute of India,Андрей Белоусов,2
Serum Institute of India,Кирилл Дмитриев,7
Serum Institute of India,ОАО «РЖД»,4
Serum Institute of India,Российский фонд прямых инвестиций (РФПИ),45
Андрей Белоусов,Кирилл Дмитриев,23
Андрей Белоусов,ОАО «РЖД»,150
Андрей Белоусов,Российский фонд прямых инвестиций (РФПИ),242
Кирилл Дмитриев,ОАО «РЖД»,35
Кирилл Дмитриев,Российский фонд прямых инвестиций (РФПИ),2210
ОАО «РЖД»,Российский фонд прямых инвестиций (РФПИ),202
Алексей Сазанов,Андрей Белоусов,84
Алексей Сазанов,Виталий Савельев,21
Алексей Сазанов,Дмитрий Чернышенко,54
Алексей Сазанов,Евгений Дитрих,42
Алексей Сазанов,Ирек Файзуллин,52
Алексей Сазанов,Каскол,49
Алексей Сазанов,Кристиан Керн,51
Алексей Сазанов,Максим Решетников,66
Алексей Сазанов,Максим Степанов,6
Алексей Сазанов,Министерство финансов,37
Алексей Сазанов,ОАО «РЖД»,69
Алексей Сазанов,Олег Белозеров,53
Алексей Сазанов,Российский фонд прямых инвестиций (РФПИ),61
Алексей Сазанов,Сергей Недорослев,51
Алексей Сазанов,Сергей Степашин,52
Алексей Сазанов,Сергей Франк,53
Алексей Сазанов,Совкомфлота,50
Алексей Сазанов,Счетная палата,27
Андрей Белоусов,Виталий Савельев,31
Андрей Белоусов,Дмитрий Чернышенко,105
Андрей Белоусов,Евгений Дитрих,75
Андрей Белоусов,Ирек Файзуллин,86
Андрей Белоусов,Каскол,84
Андрей Белоусов,Кристиан Керн,82
Андрей Белоусов,Максим Решетников,129
Андрей Белоусов,Максим Степанов,8
Андрей Белоусов,Министерство финансов,113
Андрей Белоусов,Олег Белозеров,93
Андрей Белоусов,Сергей Недорослев,86
Андрей Белоусов,Сергей Степашин,86
Андрей Белоусов,Сергей Франк,86
Андрей Белоусов,Совкомфлота,87
Андрей Белоусов,Счетная палата,71
Виталий Савельев,Дмитрий Чернышенко,22
Виталий Савельев,Евгений Дитрих,12
Виталий Савельев,Ирек Файзуллин,21
Виталий Савельев,Каскол,20
Виталий Савельев,Кристиан Керн,21
Виталий Савельев,Максим Решетников,22
Виталий Савельев,Максим Степанов,6
Виталий Савельев,Министерство финансов,10
Виталий Савельев,ОАО «РЖД»,34
Виталий Савельев,Олег Белозеров,23
Виталий Савельев,Российский фонд прямых инвестиций (РФПИ),23
Виталий Савельев,Сергей Недорослев,22
Виталий Савельев,Сергей Степашин,21
Виталий Савельев,Сергей Франк,22
Виталий Савельев,Совкомфлота,21
Виталий Савельев,Счетная палата,10
Дмитрий Чернышенко,Евгений Дитрих,45
Дмитрий Чернышенко,Ирек Файзуллин,54
Дмитрий Чернышенко,Каскол,50
Дмитрий Чернышенко,Кристиан Керн,53
Дмитрий Чернышенко,Максим Решетников,80
Дмитрий Чернышенко,Максим Степанов,6
Дмитрий Чернышенко,Министерство финансов,50
Дмитрий Чернышенко,ОАО «РЖД»,86
Дмитрий Чернышенко,Олег Белозеров,60
Дмитрий Чернышенко,Российский фонд прямых инвестиций (РФПИ),130
Дмитрий Чернышенко,Сергей Недорослев,55
Дмитрий Чернышенко,Сергей Степашин,54
Дмитрий Чернышенко,Сергей Франк,55
Дмитрий Чернышенко,Совкомфлота,52
Дмитрий Чернышенко,Счетная палата,36
Евгений Дитрих,Ирек Файзуллин,42
Евгений Дитрих,Каскол,41
Евгений Дитрих,Кристиан Керн,42
Евгений Дитрих,Максим Решетников,51
Евгений Дитрих,Максим Степанов,3
Евгений Дитрих,Министерство финансов,26
Евгений Дитрих,ОАО «РЖД»,56
Евгений Дитрих,Олег Белозеров,43
Евгений Дитрих,Российский фонд прямых инвестиций (РФПИ),51
Евгений Дитрих,Сергей Недорослев,41
Евгений Дитрих,Сергей Степашин,43
Евгений Дитрих,Сергей Франк,43
Евгений Дитрих,Совкомфлота,41
Евгений Дитрих,Счетная палата,24
Ирек Файзуллин,Каскол,51
Ирек Файзуллин,Кристиан Керн,51
Ирек Файзуллин,Максим Решетников,60
Ирек Файзуллин,Максим Степанов,6
Ирек Файзуллин,Министерство финансов,28
Ирек Файзуллин,ОАО «РЖД»,73
Ирек Файзуллин,Олег Белозеров,55
Ирек Файзуллин,Российский фонд прямых инвестиций (РФПИ),58
Ирек Файзуллин,Сергей Недорослев,53
Ирек Файзуллин,Сергей Степашин,54
Ирек Файзуллин,Сергей Франк,53
Ирек Файзуллин,Совкомфлота,50
Ирек Файзуллин,Счетная палата,26
Каскол,Кристиан Керн,48
Каскол,Максим Решетников,57
Каскол,Максим Степанов,5
Каскол,Министерство финансов,28
Каскол,ОАО «РЖД»,70
Каскол,Олег Белозеров,52
Каскол,Российский фонд прямых инвестиций (РФПИ),52
Каскол,Сергей Недорослев,50
Каскол,Сергей Степашин,51
Каскол,Сергей Франк,50
Каскол,Совкомфлота,50
Каскол,Счетная палата,26
Кристиан Керн,Максим Решетников,59
Кристиан Керн,Максим Степанов,6
Кристиан Керн,Министерство финансов,27
Кристиан Керн,ОАО «РЖД»,67
Кристиан Керн,Олег Белозеров,52
Кристиан Керн,Российский фонд прямых инвестиций (РФПИ),50
Кристиан Керн,Сергей Недорослев,50
Кристиан Керн,Сергей Степашин,52
Кристиан Керн,Сергей Франк,52
Кристиан Керн,Совкомфлота,49
Кристиан Керн,Счетная палата,26
Максим Решетников,Максим Степанов,6
Максим Решетников,Министерство финансов,52
Максим Решетников,ОАО «РЖД»,80
Максим Решетников,Олег Белозеров,64
Максим Решетников,Российский фонд прямых инвестиций (РФПИ),123
Максим Решетников,Сергей Недорослев,59
Максим Решетников,Сергей Степашин,60
Максим Решетников,Сергей Франк,61
Максим Решетников,Совкомфлота,61
Максим Решетников,Счетная палата,44
Максим Степанов,Министерство финансов,5
Максим Степанов,ОАО «РЖД»,9
Максим Степанов,Олег Белозеров,6
Максим Степанов,Российский фонд прямых инвестиций (РФПИ),50
Максим Степанов,Сергей Недорослев,6
Максим Степанов,Сергей Степашин,6
Максим Степанов,Сергей Франк,6
Максим Степанов,Совкомфлота,5
Максим Степанов,Счетная палата,5
Министерство финансов,ОАО «РЖД»,63
Министерство финансов,Олег Белозеров,35
Министерство финансов,Российский фонд прямых инвестиций (РФПИ),282
Министерство финансов,Сергей Недорослев,28
Министерство финансов,Сергей Степашин,28
Министерство финансов,Сергей Франк,28
Министерство финансов,Совкомфлота,35
Министерство финансов,Счетная палата,62
ОАО «РЖД»,Олег Белозеров,104
ОАО «РЖД»,Сергей Недорослев,73
ОАО «РЖД»,Сергей Степашин,72
ОАО «РЖД»,Сергей Франк,70
ОАО «РЖД»,Совкомфлота,72
ОАО «РЖД»,Счетная палата,67
Олег Белозеров,Российский фонд прямых инвестиций (РФПИ),83
Олег Белозеров,Сергей Недорослев,55
Олег Белозеров,Сергей Степашин,55
Олег Белозеров,Сергей Франк,54
Олег Белозеров,Совкомфлота,51
Олег Белозеров,Счетная палата,29
Российский фонд прямых инвестиций (РФПИ),Сергей Недорослев,53
Российский фонд прямых инвестиций (РФПИ),Сергей Степашин,53
Российский фонд прямых инвестиций (РФПИ),Сергей Франк,52
Российский фонд прямых инвестиций (РФПИ),Совкомфлота,112
Российский фонд прямых инвестиций (РФПИ),Счетная палата,129
Сергей Недорослев,Сергей Степашин,53
Сергей Недорослев,Сергей Франк,52
Сергей Недорослев,Совкомфлота,49
Сергей Недорослев,Счетная палата,26
Сергей Степашин,Сергей Франк,53
Сергей Степашин,Совкомфлота,50
Сергей Степашин,Счетная палата,26
Сергей Франк,Совкомфлота,51
Сергей Франк,Счетная палата,26
Совкомфлота,Счетная палата,29
Российский фонд прямых инвестиций (РФПИ),Сергей Иванов,58
Всемирная организация здравоохранения (ВОЗ),Российский фонд прямых инвестиций (РФПИ),2463
Министерство здравоохранения,Российский фонд прямых инвестиций (РФПИ),351
Национальный исследовательский центр эпидемиологии и микробиологии имени Н.Ф. Гамалеи (НИЦЭМ),Российский фонд прямых инвестиций (РФПИ),3907
Всемирная организация здравоохранения (ВОЗ),Национальный исследовательский центр эпидемиологии и микробиологии имени Н.Ф. Гамалеи (НИЦЭМ),1065
Российская энергетика,Российский фонд прямых инвестиций (РФПИ),14
Всемирная организация здравоохранения (ВОЗ),Михаил Мурашко,512
Михаил Мурашко,Национальный исследовательский центр эпидемиологии и микробиологии имени Н.Ф. Гамалеи (НИЦЭМ),642
Михаил Мурашко,Российский фонд прямых инвестиций (РФПИ),1080
Всемирная организация здравоохранения (ВОЗ),Европейское агентство лекарственных средств EMA,104
Европейское агентство лекарственных средств EMA,Российский фонд прямых инвестиций (РФПИ),268
Gland Pharma,Hetero Biopharma,29
Gland Pharma,Panacea Biotec,29
Gland Pharma,Serum Institute of India,9
Gland Pharma,Stelis Biopharma,28
Gland Pharma,Virchow Biotech,19
Gland Pharma,Российский фонд прямых инвестиций (РФПИ),35
Hetero Biopharma,Panacea Biotec,31
Hetero Biopharma,Serum Institute of India,9
Hetero Biopharma,Stelis Biopharma,27
Hetero Biopharma,Virchow Biotech,17
Hetero Biopharma,Российский фонд прямых инвестиций (РФПИ),41
Panacea Biotec,Serum Institute of India,9
Panacea Biotec,Stelis Biopharma,27
Panacea Biotec,Virchow Biotech,19
Panacea Biotec,Российский фонд прямых инвестиций (РФПИ),48
Serum Institute of India,Stelis Biopharma,9
Serum Institute of India,Virchow Biotech,9
Stelis Biopharma,Virchow Biotech,20
Stelis Biopharma,Российский фонд прямых инвестиций (РФПИ),41
Virchow Biotech,Российский фонд прямых инвестиций (РФПИ),32
Альберто Фернандес,Кирилл Дмитриев,28
Альберто Фернандес,Российский фонд прямых инвестиций (РФПИ),83
Альберто Фернандес,Совкомбанк,5
Кирилл Дмитриев,Совкомбанк,11
Российский фонд прямых инвестиций (РФПИ),Совкомбанк,27
Александр Бастрыкин,Ангела Меркель,5
Александр Бастрыкин,Андрей Клишас,5
Александр Бастрыкин,Андрей Колесников,4
Александр Бастрыкин,Андрей Кортунов,4
Александр Бастрыкин,Антон Кобяков,5
Александр Бастрыкин,Верховный суд,7
Александр Бастрыкин,Владимир Путин,11
Александр Бастрыкин,Внешэкономбанк (ВЭБ),5
Александр Бастрыкин,ГОК,4
Александр Бастрыкин,Генеральная прокуратура,8
Александр Бастрыкин,Голос,4
Александр Бастрыкин,Джо Байден,6
Александр Бастрыкин,Дональд Трамп,8
Александр Бастрыкин,Леонид Михельсон,4
Александр Бастрыкин,МКС,4
Александр Бастрыкин,ММК,4
Александр Бастрыкин,Министерство финансов,8
Александр Бастрыкин,Минсельхоз,4
Александр Бастрыкин,Минтруда,6
Александр Бастрыкин,Минэнерго,4
Александр Бастрыкин,Михаил Ковальчук,4
Александр Бастрыкин,Михаил Мишустин,20
Александр Бастрыкин,Многофункциональный центр (МФЦ),7
Александр Бастрыкин,Мосгорсуд,4
Александр Бастрыкин,НПФ,4
Александр Бастрыкин,Национальный исследовательский центр эпидемиологии и микробиологии имени Н.Ф. Гамалеи (НИЦЭМ),11
Александр Бастрыкин,ОАО «Ростелеком»,4
Александр Бастрыкин,Общественная палата,16
Александр Бастрыкин,Организация Североатлантического договора (НАТО),9
Александр Бастрыкин,ПАО «Газпром нефть»,4
Александр Бастрыкин,ПАО «СИБУР Холдинг»,8
Александр Бастрыкин,Роскомнадзор,6
Александр Бастрыкин,Российский фонд прямых инвестиций (РФПИ),18
Александр Бастрыкин,Росстат,5
Александр Бастрыкин,Рубен Варданян,4
Александр Бастрыкин,Сбербанк,12
Александр Бастрыкин,Сергей Лавров,7
Александр Бастрыкин,Сергей Собянин,7
Александр Бастрыкин,Сергей Шойгу,4
Александр Бастрыкин,Сириус,4
Александр Бастрыкин,ФК «Открытие»,4
Александр Бастрыкин,ЦИК,4
Александр Бастрыкин,Центризбиркома,4
Александр Бастрыкин,Эммануэль Макрон,5
Александр Бастрыкин,Юникредит банка,4
Ангела Меркель,Андрей Клишас,4
Ангела Меркель,Андрей Колесников,4
Ангела Меркель,Андрей Кортунов,6
Ангела Меркель,Антон Кобяков,5
Ангела Меркель,Верховный суд,5
Ангела Меркель,Владимир Путин,90
Ангела Меркель,Внешэкономбанк (ВЭБ),4
Ангела Меркель,ГОК,4
Ангела Меркель,Генеральная прокуратура,6
Ангела Меркель,Голос,7
Ангела Меркель,Джо Байден,24
Ангела Меркель,Дональд Трамп,45
