node,community
ЗАО Терминал Владивосток,0
Сергей Гуриев,0
Павел Ливинский,0
Ростех-Сити,0
CDC International Capital,0
Финмаркет,0
Фонд Шелкового пути,0
Евгения Григорьева,0
DSM Group,0
Электрощит Самара,0
Герофарм,0
Hitachi Zosen Inova (HZI),0
Рубен Варданян,0
Виктор Медведчук,0
Антон Силуанов,0
Арктик СПГ-2,0
Башнефть,0
Tesla Motors,0
Сергей Кельбах,0
Андрей Кузяев,0
Михаил Бурмистров,0
Японский банк для международного сотрудничества JBIC,0
МСП,0
Марк Курцер,0
China Development Bank,0
Алексей Моисеев,0
Росатом,0
Фортум,0
Катерина Тихонова,0
En+,0
Клаус Шваб,0
Futures Tournaments,0
UFG Private Equity,0
ЯндексТакси,0
Japan Bank for International Cooperation,0
Caisse des Depots,0
JBIC IG Partners,0
Рособоронэкспорт,0
ас-Сиси,0
Татнефть,0
CP Group,0
Транссиб,0
Анатолий Браверман,0
БКС,0
Константин Чуйченко,0
Royal Dutch Shell,0
Роберт Мюллер,0
Себастьян Курц,0
Си Цзиньпин,0
Геннадий Тимченко,0
Morgan Stanley,0
Санкт-Петербургский государственный университет (СПбГУ),0
Амин Нассер,0
АК АЛРОСА,0
Павел Сорокин,0
Татьяна Едовина,0
Кирилл Шамалов,0
Алексей Тарханов,0
DP World,0
НЛМК,0
Interhealth Saudi Arabia,0
НК «Роснефть»,0
Иннопрактика,0
Новомет,0
Владимир Евтушенков,0
Dubai Ports,0
Американская торговая палата,0
Тагир Ситдеков,0
Российско-японский инвестиционный фонд,0
ТМК,0
Зоозавр,0
Энтони Скарамуччи,0
Arc International,0
Джош Лернер,0
ПАО «СИБУР Холдинг»,0
Полюс,0
Сургутнефтегаз,0
Новатэк,0
Мухаммед бен Заид Аль Нахайян,0
Дмитрий Шугаев,0
RTP Global,0
Неом,0
Дональд Туск,0
Русснефть,0
Ronesans Holding,0
ННК,0
Госдепартамент,0
Транснефть Телеком,0
One Equity Partners,0
General Electric,0
Андрей Акимов,0
Биокад,0
Ирина Парфентьева,0
Каро Фильм,0
Международный валютный фонд (МВФ),0
ОАО «Газпром»,0
Fondo Strategico Italiano (FSI),0
Турецкий суверенный фонд (TSF),0
Рустам Минниханов,0
Международный экспертный совет,0
Чжан Гаоли,0
Александр Новак,0
Денис Мантуров,0
Дмитрий Азаров,0
Сбербанк,0
Changi Airports International,0
Халид аль-Фалих,0
Андрей Цыганов,0
Юрий Ушаков,0
Тереза Мэй,0
Владимир Дмитриев,0
ГОК,0
Алексей Репик,0
Международная ассоциация тенниса,0
УК Лидер,0
Антон Алиханов,0
БАМ,0
Goldman Sachs,0
ЕАЭС,0
X5 Retail Group,0
«Ростех»,0
China Investment Corporation,0
Нефтетранссервис (NTS),0
Михаил Метцель,0
Тимофей Дзядко,0
Moodys,0
Новапорт,0
Газфонд,0
ООО Воздушные ворота Северной столицы ВВСС,0
Роснано,0
Лю Цзивэй,0
Павел Дуров,0
Titan International,0
Джек Ма,0
Бадер Мохаммад Аль-Саад,0
Приморье-2,0
Владимир Чирахов,0
S&P,0
Запсибнефтехим,0
Fraport AG,0
Фармстандарт,0
Алексей Мордашов,0
Энрико Летты,0
Михаил Гуцериев,0
Международного энергетического агентства,0
Ху Бин,0
Александр Мишарин,0
Лаборатория Касперского,0
Автобан,0
Детская Галерея Якиманка,0
Qatar Investment Authority,0
Азиатский банк инфраструктурных инвестиций,0
Дмитрий Медведев,0
Алишер Усманов,0
Роман Старовойт,0
Металлоинвест,0
Фонд развития Дальнего Востока,0
Гарвардский университет,0
ЗапСиб-2,0
Hyperloop One,0
Хабиб,0
Евразийского банка развития,0
RFP Group,0
Банк ВТБ,0
Северсталь,0
Ямал СПГ,0
Герман Греф,0
Tigers Realm Coal,0
Синдзо Абэ,0
Минвостокразвития,0
Мун Чжэ Ин,0
Китайско-евразийский фонд экономического сотрудничества (КЕФЭС),0
Ли Кэцян,0
Алексей Козлов,0
Эрик Принс,0
Эргинское,0
Игорь Шувалов,0
Российско-китайский инвестиционный фонд (РКИФ),0
Сергей Местников,0
Федеральная таможенная служба (ФТС),0
ЭР-Телеком Холдинг,0
SBI Holdings,0
Юрий Соловьев,0
En+ Group,0
Евгений БЕЛЯКОВ,0
Societe Generale,0
Дмитрий Песков,0
Давид Якобашвили,0
Нихат Зейбекчи,0
Геннадий Онищенко,0
Дмитрий Бутрин,0
Айсен Николаев,0
Дмитрий Конов,0
Евразийский экономический союз,0
Новый банк развития,0
Егор Борисов,0
Биньямин Нетаньяху,0
МКАД,0
Дмитрий Пумпянский,0
Дмитрий СМИРНОВ,0
Андрей Слепнев,0
Министерство экономического развития,0
ЕврАзЭС,0
ВПК,0
Saudi Aramco,0
Eurasia Drilling Company (EDC),0
Эдуард Худайнатов,0
Азиатско-Тихоокеанское экономическое сотрудничество (АТЭС),0
Марат Хуснуллин,0
Хамад Аль Хурр Аль Сувайди,0
Cassa Depositi e Prestiti SpA,0
Алексей Кудрин,0
КХЛ,0
