source,date,author,title,body
Connect! Мир связи,10.10.2017,Кирилл ДМИТРИЕВ,"Системы водяного охлаждения для ЦОД: виды, преимущества и критерии выбора","Современные центры обработки данных часто приходится создавать в ограниченном
пространстве, поэтому важно грамотно спроектировать инженерную инфраструктуру и
обеспечить ее системой охлаждения и вентиляции. Как ни парадоксально, выработка
холода системой охлаждения - сложный процесс, в котором многое зависит от
технологических особенностей. Какие условия эксплуатации и критерии выбора
необходимо учитывать, чтобы оборудовать объект оптимальной системой?
Любая система, работающая на фреоне или на охлажденной воде, состоит из
генератора и доводчика холода. В настоящее время все чаще в качестве хладагента
вместо воздуха используют жидкость, что позволяет существенно сэкономить
энергию, место под магистрали и повысить эффективность работы системы.
От воздушных систем охлаждения к водяным
Задача системы бытового назначения или промышленного холодильного центра -
производство холода. Способов его получения достаточно много: начиная от
термоэлектрических процессов и заканчивая тепловыми насосами, использующими
энергию грунта или водоемов. Самыми распространенными остаются
воздухоохлаждаемые парокомпрессионные холодильные агрегаты - стандартные
холодильные агрегаты, функционирующие по циклу Карно. Основополагающим в них
является изменение агрегатного состояния вещества - хладагента. Принцип цикла
представлен на рис. 1.
В качестве хладонов в настоящее время используются различные марки фреонов,
которые относятся к семейству инертных углеводородных газов. Востребованы они
благодаря своим физико-химическим свойствам, а именно - низкой температуре
кипения.
Структура холодильного контура одинакова для любой холодильной машины:
испаритель, в котором фреон преобразуется из жидкого в газообразное состояние,
компрессор, где происходят сжатие и перегрев газа, конденсатор, где газ
превращается в жидкость, и электронно-расширительный вентиль, резко снижающий
давление жидкости и тем самым переохлаждающий ее. Расположение основных
компонентов приведено на рис. 2.
Система охлаждения состоит из генератора холода, магистралей и доводчика. При
этом не имеет значения, какие системы имеются в виду: работающие только на
фреоне, например бытовые сплит-системы, или системы промышленного
холодоснабжения, функционирующие на охлажденной воде, поступающей от чиллера. В
таком случае фреоновый контур передает холод не сразу воздуху, а воде или
водному раствору антифриза, который поступает к оконечному устройству, т. е.
кондиционеру. Вода обладает высокой теплоемкостью, поэтому она вытеснила
воздушные системы охлаждения. Так, для обеспечения одной и той же
холодопроизводительности потребуется во много раз больший объемный расход
воздуха, чем воды. Например, чтобы обеспечить нагрузку в 100 кВт потребовалось
бы 24 368 м3/ч воздуха при разнице температур 12 С°, а воды 17,2 м3/ч при
разнице температур всего 5 С°. То есть для такого расхода воздуха нам
потребовался бы воздуховод с площадью поперечного сечения 1,2-1,7 м2, а для воды
достаточно трубы диаметром всего 65 мм - разница очевидна.
Преимущества системы
Любое строящееся здание не может функционировать без систем микроклимата вне
зависимости от того, для чего предназначены его помещения. Основное преимущество
жидкостных систем - универсальность. Если нужна централизованная система
кондиционирования, устанавливается чиллер, и все здание обеспечивается холодом.
Для решения задачи локального охлаждения подходит фреоновая сплит-система.
Существует риск утечки из водяной системы, что может привести к пагубным
последствиям. В этом случае можно применить фреоновые системы, так как хладагент
превращается в бесцветный нетоксичный газ. Главное, что эти системы могут
использоваться практически в любой сфере деятельности, будь то бытовые,
административные, производственные или специализированные помещения. По сути,
каждый из нас ежедневно взаимодействует с холодильником, который представляет
собой холодильную машину в миниатюре.
Популярность систем жидкостного охлаждения объясняется компактностью, легкостью
как качественного, так и количественного регулирования холодопроизводительности.
Наиболее высоким спросом пользуются фреоновые системы, поскольку для них
характерна максимальная энергоэффективность при достаточно компактных габаритах.
Большинство производителей климатического оборудования делают упор именно на эти
системы. И хотя физические основы процессов остаются неизменными, значительные
ресурсы привлекаются к разработке и внедрению инновационных технологий.
Например, сегодня с трудом можно себе представить систему холодоснабжения с
применением стандартного on/off-компрессора, на смену им пришли инверторные
компрессоры с частотным регулированием. Такие агрегаты позволяют не только
продлить срок службы устройства и снизить потребление энергии благодаря
отсутствию пусковых токов, но и более глубоко регулировать
холодопроизводительность в зависимости от фактической нагрузки. Модернизируется
и вторичное оборудование: применяются современные насосы и
электронно-коммутируемые вентиляторы. Все эти устройства работают по схожему с
инверторным компрессором принципу адаптации производительности с помощью
модуляции напряжения. Так, в межрядных кондиционерах Liquid Cooling Package
(LCP) и встраиваемых в стойку сплит-системах Liquid Cooling Unit (LCU)
используются электронно-коммутируемые (ЕС) вентиляторы, которые позволяют плавно
изменять расход воздуха в диапазоне 10...100% от номинала, а инверторные
компрессоры DX-версий поддерживают производительность 30.100% в зависимости от
фактической нагрузки. Таким образом, путем комбинирования этих технологий можно
достичь нужной глубины регулирования холодопроизводительности для удовлетворения
потребности в холоде в конкретный момент.
В настоящее время разрабатываются и внедряются различные типы хладагентов -
производители стали уделять внимание защите экологии. Несколько лет назад был
широко распространен антифриз на базе этиленглико- ля, который отличается
высокой химической агрессивностью и токсичностью. На смену ему пришел
пропиленгликоль, который применяется даже в пищевой промышленности.
Разрабатываются и внедряются новые виды фреонов с более высокой степенью
озонобезопасности: широко распространенный R-22 уступил место R-134, R-32,
R-125, а также их смесям R-407C и R-410A, которые относятся к группе
озонобезопасных хладонов.
Подходы к жидкостному охлаждению
Существует несколько подходов к организации охлаждения в ЦОД. Различаются они по
уровню организации холодоснабжения: выбор способа зачастую зависит от удельной
нагрузки на стойку, наличия свободной площади, удаленности генераторов холода от
обслуживаемого помещения и иных менее значимых факторов.
Самый простой вариант для помещений с низким тепловыделением - ассимиляция
теплоизбытков с помощью фонового кондиционирования. В этом случае стандартная
система кондиционирования утилизирует теплопритоки всего объема помещения без их
локализации. Это самый бюджетный, но и наименее надежный способ. Во-первых,
приток охлажденного воздуха не организован, подается в помещение свободно, а
дальше распределяется внутренними хаотичными потоками. Во-вторых, нет точного
поддержания температуры в конкретной зоне. Стандартные системы кондиционирования
не способны поддерживать температуру с той же точностью, что и
специализированные. Таким образом, при подобном решении помещение охлаждается,
защищается от перегрева, но параметры, при которых работает серверное
оборудование, не контролируются.
Следующий вариант - решения на уровне отдельной стойки, к которым относятся
встраиваемые системы охлаждения, например LCU от Rittal. Агрегаты предназначены
для обслуживания низко- и средненагруженных отдельно или парно стоящих стоек.
Такие системы из класса прецизионных кондиционеров с локальной организацией
движения воздуха по стандартной схеме ""спереди - назад"". Кроме того, они
обеспечивают возможность резервирования и ротации, что является неотъемлемым
требованием надежности. Однако такое решение экономически оправдано только для
небольшого количества стоек.
Для развитой инфраструктуры с большим количеством стоек и тепловыделением
применяется решение на уровне помещения с использованием шкафных прецизионных
кондиционеров. При такой системе охлажденный воздух подается из-под фальшпола в
зону перед фронтальной 19"" плоскостью, а нагретый воздух от задней плоскости
забирается кондиционером через верхнюю зону. Для повышения эффективности
рекомендуется организация отделения холодных/горячих коридоров, что позволяет
избежать смешивания охлажденного и нагретого воздуха на верхней границе рядов.
Среди недостатков такой системы можно отметить большую необходимую площадь для
размещения кондиционеров и обязательное наличие фальшпола высотой от 500 мм.
Преимуществом схожего с предыдущим вариантом решения, предусматривающего
применение межрядных кондиционеров, которые подают воздух перпендикулярно ряду
либо вдоль него, организуя ""холодную завесу"" перед фронтальной плоскостью,
является контроль температуры воздуха каждым агрегатом непосредственно в рабочей
зоне. При этом температура подаваемого воздуха измеряется в трех точках по
высоте кондиционера, что гарантирует ее равномерность по всей высоте ряда.
Решение также рекомендуется использовать с отделениями коридоров.
Еще один тип решения - организация циркуляции воздуха внутри стойки с помощью
межрядных кондиционеров, так называемое Rack-решение. Сегодня это самый мощный
вариант охлаждения, позволяющий утилизировать до 50-55 кВт со стойки. Его
преимущество заключается в организации замкнутого независимого контура
""кондиционер - стойка"", который не подвержен влияниям извне. Основной недостаток
системы - чрезмерное увеличение количества внутренних холодильных агрегатов при
резервировании. Это связано с ограничениями по внутреннему сопротивлению
системы, т. е. количеству ""продуваемых"" стоек. Так, например, решение часто
применяется при установке серверных стоек в офисных или неподготовленных для ЦОД
помещениях. С его помощью можно создать замкнутую систему охлаждения, которая не
требует воздуха из помещения, не подает воздух в помещение, не создает лишних
воздушных потоков и при этом обеспечивает высокую холодильную мощность,
поскольку работает непосредственно на сетевое оборудование.
Все перечисленные варианты могут быть реализованы как на охлажденной воде, так и
на фреоне, но с определенными оговорками. В частности, фреоновые системы не
позволяют размещать конденсаторные блоки намного выше или ниже испарителей, но
требуют гораздо меньше места для размещения оборудования и магистрали. Системы
на охлажденной воде, несмотря на свою громоздкость, предоставляют широкие
возможности в сфере проектирования и отличаются более свободными рамками
холодильной мощности. Представим ситуацию, когда ЦОД находится на первом или
цокольном этаже, а наружное инженерное оборудование предполагается размещать на
кровле на уровне 11-го этажа. В такой ситуации приходится отказаться от
фреоновых решений в пользу охлажденной воды, поскольку они могут обеспечить
перепад около 20 м, а в нашем случае это 11 * 3,5 = 38,5 м.
Рассмотрим другой пример: наружное оборудование размещается на одном уровне с
внутренним, и выделено место только на стене здания либо маленькая площадь на
земле. В этом случае рекомендуется рассмотреть фреоновые системы как более
эффективные, компактные и простые в монтаже и обслуживании.
Жидкостное охлаждение для работающих серверов
При выборе поставщика оборудования и решения заказчики руководствуются
возможностью модернизации и расширения систем. Из-за экспоненциального
увеличения вычислительных мощностей и объемов электронных данных требуются все
более мощные и совершенные системы охлаждения, которые можно адаптировать к
фактической мощности оборудования. Применительно к решениям Rittal мы
акцентировали внимание на модульности. Ранее это были системы кондиционирования
с модулями теплообменников и вентиляторов, но такое решение не оправдало себя.
Поэтому было отдано предпочтение единому теплообменнику, а мощность можно
наращивать модулями вентиляторов. Преимущество решения в его высокой
ремонтопригодности: вышедший из строя блок вентилятора можно заменить, не
останавливая работу холодильного агрегата. Благодаря такому подходу
обеспечивается определенная степень резервирования на уровне агрегата.
И тогда при необходимости есть возможность нарастить мощность установленных
агрегатов путем добавления вентиляторных модулей. Если они установлены, система
автоматически подстроится к изменившимся условиям эксплуатации.
Если рассматривать ЦОД, в котором не было системы охлаждения и возникла
необходимость в ее установке, можно подобрать решение, которое органично
впишется в структуру дата-центра. Это может быть решение на базе шкафных
прецизионных кондиционеров или межрядных кондиционеров. При отсутствии
свободного пространства для установки холодильных агрегатов предлагается решение
для встраивания внутрь существующей стойки. Например, в стойку 42-47U с
регулируемыми профилями без охлаждения шириной 800 мм и глубиной 1000+ мм можно
встроить холодильный агрегат мощностью до 6,5 кВт, лишь сдвинув 19"" плоскость в
сторону.
Допустимо применить такое решение даже с резервированием холодильных контуров.
Таким образом, не меняя наполнения шкафа, можно встроить компактную и мощную
систему охлаждения без использования дополнительной площади.
Перспективы систем охлаждения на российском рынке
В условиях экспоненциального увеличения объема потока данных и вычислительных
мощностей оборудования системы охлаждения переживают пик популярности.
Требования к агрегатам и конкуренция на рынке растут, поэтому не стоит принимать
во внимание только уже разработанные решения, необходимо развивать существующую
базу и внедрять новые продукты. Важно быть готовым пойти навстречу заказчику и,
возможно, разработать уникальный агрегат, адаптированный под конкретный проект.
Предсказать, какое направление развития систем в ближайшем будущем окажется
наиболее перспективным, трудно, однако, по моему мнению, это будет фреон. Очень
многие заказчики боятся применения систем на воде из-за угрозы утечки. При
формировании нашей продуктовой линейки мы несколько упустили указанное
направление, но вовремя проанализировали ситуацию и сделали выводы. Поэтому
компания предлагает фреоновые агрегаты до 20 кВт, а в 2018 г. планируем
представить версию 35 кВт.
Многие пытаются снизить бюджет проекта за счет упрощения вторичных систем, но
охлаждение - жизненно необходимая подсистема для функционирования дата-центра
наравне с электроснабжением. Экономия на этапе проектирования и возведения может
дорого обойтись при дальнейшей эксплуатации. Единственно грамотное решение в
данном случае - доверить разработку качественного и надежного решения
специалистам с многолетним опытом.
Кирилл ДМИТРИЕВ
, менеджер по продукции (ИТ-охлаждение), Rittal"
АиФ - Москва,06.09.2017,"Кирилл
Дмитриев",Зачем Путин летал в Китай?,"Автор: Александр Колесниченко
С ВОСКРEСEНЬЯ ВЛАДИМИР ПУТИН НА ДАЛЬНEМ ВОСТОКE. В КИТАЙСКОМ СЯМЭНE СОСТОЯЛСЯ
9-Й САММИТ СТРАН - ЧЛEНОВ ОБЪEДИНEНИЯ БРИКС, В ПРИМОРЬE 6-7 СEНТЯБРЯ ПРОХОДИТ
3-Й ВОСТОЧНЫЙ ЭКОНОМИЧEСКИЙ ФОРУМ (ВЭФ).
Когда самолёт президента находился в воздухе по пути в Китай, стало известно о
новом ядерном испытании в КНДР. Ситуация на Корейском полуострове и так должна
была стать одной из главных тем на переговорах Путина с председателем Китая Си
Цзиньпином, а также на саммите стран БРИКС (Бразилия, Россия, Индия, Китай,
Южная Африка). Однако новый ядерный тест в Северной Корее - 6-й по счёту - прямо
накануне саммита стал неприятным сюрпризом, особенно для Пекина, который имеет
большое влияние на КНДР. Кроме санкций Россия и Китай предлагают ещё и
политико-дипломатические меры по выходу из тупика. ""Всё происходит в
непосредственной близости от границ России, поэтому мы не меньше, а, может быть,
больше остальных обеспокоены тем, как развиваются события"", - пояснил
пресс-секретарь президента Дмитрий Песков.
Впрочем, в отношениях РФ и Китая есть много и других тем для обсуждения. ""В июле
этого года мой визит в Россию прошёл весьма успешно, - отметил в начале встречи
Си Цзиньпин. - Отрадно, что все наши министерства и ведомства работают над
всесторонней реализацией наших договорённостей, постоянно добиваются новых
результатов"". Тогда, в июле, в Москве подписано 20 документов и соглашений.
Китай - уже крупнейший экономический партнёр России с товарооборотом в 66 млрд
долл. (в 2016 г.). Страны формируют стратегический альянс в энергетике,
реализуются крупные инфраструктурные проекты, развивается промышленная
кооперация, сотрудничество в космосе.
О развитии сотрудничества говорили и на саммите БРИКС. ""За последние годы
отношения между государствами БРИКС приобретают характер подлинного
всеобъемлющего партнёрства"", - отметил Владимир Путин. Одна из задач -
координация действий при проведении очередного пересмотра квот в Международном
валютном фонде.
Тем временем глава Российского фонда прямых инвестиций
Кирилл
Дмитриев
поведал, что обсуждается возможность создания криптовалюты БРИКС как
альтернативы другим платёжным инструментам.
То есть доллару.
Кстати, накануне саммита появились предположения о возможном расширении БРИКС за
счёт присоединения некоторых других стран. Как пояснил помощник президента по
внешней политике Юрий Ушаков, речь об этом пока не идёт. Но клуб БРИКС
действительно становится представительнее. Как сказал хозяин саммита Си
Цзиньпин, ""нам необходимо привлечь как можно больше формирующихся рынков и
развивающихся стран в нашем общем стремлении к сотрудничеству и взаимной
выгоде"". В этом году гостями саммита в формате ""БРИКС плюс"" стали главы
Таджикистана, Гвинеи, Таиланда, Eгипта и Мексики. С последними тремя, а также с
лидерами Индии и Южной Африки Владимир Путин провёл отдельные переговоры.
Двусторонние встречи продолжились в столице Приморья. Почётные гости ВЭФ -
лидеры Японии, Южной Кореи, Монголии. Форум проходит по девизом ""Открывая
Дальний Восток"". Гостей действительно больше, чем год назад: 3 тыс. человек из
55 стран, в том числе 71 руководитель иностранных компаний и предпринимательских
объединений. Eсть и американцы. Отвечая на вопрос ""АиФ"", Юрий Ушаков сказал: ""С
удовольствием примем (гостей из США. - Ред.). Это важно на фоне того, что
происходит сейчас в двусторонних отношениях"".
***
фото:"
АиФ - Москва,15.07.2020,,Чем закончились испытания вакцины от COVID-19 на солдатах и чиновнике?,"Рубрика: 7
Недавно немецкая Frankfurter Allgemeine Zeitung написала, что в РФ вакцину от
коронавируса принудительно испытывают на подопытных солдатах. Опять врут?
У. Пак, Кемерово
В испытании вакцины, которую разработал НИЦЭМ им. Гамалеи, действительно
участвуют военные – сотрудники 48-го Центрального НИИ Мин обороны. Как сообщили
в институте, вакцинация проведена 50 военнослужащим-контрактникам, в т. ч. 5
женщинам. Но все они согласились на это добровольно.
А ещё в эксперименте
изъявил желание поучаствовать крупный чиновник – глава Российского фонда прямых
инвестиций
Кирилл Дмитриев
(под управлением фонда – капитал в 10 млрд долл.).
На
момент подписания номера и военные, и г-н Дмитриев чувствовали себя хорошо. Если
осложнений не будет, первую группу выпишут 15 июля, вторую – 20 июля. Как
сообщил министр здравоохранения РФ Михаил Мурашко, общая вакцинация в России
(она, как обещают, будет добровольной и бесплатной) может начаться уже в конце
июля.
***
фото:"
АиФ - Москва,22.07.2020,,Я вакцины не боюсь,"Кирилл Дмитриев
, на себе испытавший вакцину от COVID-19, – о том, как идут
испытания
ГЛАВА РОССИЙСКОГО ФОНДА ПРЯМЫХ ИНВЕСТИЦИЙ
КИРИЛЛ ДМИТРИЕВ
НА СЕБЕ ИСПЫТАЛ НОВУЮ
ВАКЦИНУ ОТ COVID-19.
Уникальность ситуации в том, что испытателем стал не разработчик, медик или
человек в погонах, а руководитель суверенного фонда России – мощной финансовой
структуры, совместно с партнёрами реализующей проекты почти на 2 трлн рублей. О
ситуации с разработкой тестов, лекарств и вакцины от коронавируса он рассказал
корреспонденту «АиФ» Юлии ТУТИНОЙ.
– Кирилл Александрович, как возглавляемый вами фонд, вроде далёкий от медицины,
оказался на переднем крае борьбы с COVID-19?
– Российский фонд прямых инвестиций (РФПИ) как суверенный фонд России играет
ключевую роль в борьбе с коронавирусной инфекцией в стране. Благодаря широкой
сети международных партнёрств мы имеем возможность анализировать лучшие
международные практики и находить эффективные решения. Мы сфокусировали усилия
на трёх основных направлениях – производстве высокоточных тестов, эффективных
препаратов для лечения, а также вакцины.
– Слышала, вы придумали какие-то новые тесты по выявлению коронавируса.
– Да, мы инвестировали в российско-японскую систему тестирования, результаты
теста доступны уже через 30 минут, причём их точность не уступает результатам
традиционных систем тестирования ПЦР. Другим системам необходимо 2,5 часа. В
итоге наши тесты увеличивают производительность существующего ПЦР-оборудования в
3–4 раза. Я считаю, подобные тесты в ближайшее время станут ключевым
инструментом для восстановления мировой экономики. Неслучайно другие страны уже
приобрели 13 млн наших тестов. Их можно использовать, к примеру, в международных
аэропортах. И, чтобы сутки не находиться на обязательном карантине в тех же
Афинах, вы сможете пройти процедуру тестирования за 30 минут. Такое решение
позволит избежать убытков на триллионы долларов. На этой неделе мы начали проект
по тестированию в аэропорту «Шереметьево».
ЗА НАМИ ПРЕИМУЩЕСТВО
– А как с эффективными лекарствами?
– Вкладывая средства в препараты на основе плазмы для лечения тяжёлых случаев
коронавирусной инфекции и в лекарства, подавляющие цитокиновый шторм, мы всё же
сосредоточили внимание именно на проверенных противовирусных препаратах.
В первую очередь я имею в виду «Авифавир», который мы создали в России как
улучшенную версию японского препарата против гриппа «Авиган». Вместе с
«Ремдесивиром», производимым в США, они стали первыми в мире официально
одобренными препаратами для лечения коронавируса.
Средний срок выведения вируса из организма при приёме «Авифавира» – 4 дня, тогда
как при стандартной терапии – 9 дней. Таким образом, сокращается период, в
течение которого пациенты являются заразными, а также продолжительность их
госпитализации. Три независимых клинических исследования на более чем 700
пациентах, а также результаты лечения «Авифавиром» десятков тысяч пациентов в
России подтвердили результаты наших исследований.
– Каков ваш прогноз относительно появления вакцины?
– Из более чем 100 вакцин, разрабатываемых в мире сегодня, лишь 20 находятся в
стадии клинических испытаний. Наш анализ показывает, что первыми на рынке
появятся вакцины на основе аденовируса. Вакцины на основе аденовирусных векторов
разрабатываются с 1980-х гг. Они уже получили официальное одобрение и эффективно
используются против Эболы, обеспечивая высокую степень безопасности.
Три векторные аденовирусные вакцины показали хорошие результаты на первой фазе
клинических испытаний. Они разработаны Национальным исследовательским центром
эпидемиологии и микробиологии имени почётного академика Н. Ф. Гамалеи,
Оксфордским университетом в партнёрстве с AstraZeneca и китайской CanSino
Biologics. Мы убеждены, что все они будут востребованы.
Основное преимущество вакцины Института Гамалеи – это первичная иммунизация
двумя различными компонентами. Такой подход позволяет преодолеть иммунитет
против векторной части вакцины и приводит к образованию клеток памяти для более
длительного иммунитета.
Понимание и уверенность в безопасности этой вакцины, а также её пользы в борьбе
с коронавирусной инфекцией стали определяющими для принятия решения как о
прививке, так и об организации её производства.
НА ЛИЧНОМ ОПЫТЕ
– Какие у вас ощущения от прививки? Наблюдались ли побочные эффекты? Может быть,
температура была?
– Всё прошло хорошо, никаких негативных или побочных эффектов. Устойчивый
иммунитет у меня выработался через 20 дней, раньше инъекции второй
поддерживающей дозы, которая должна продлить иммунитет до двух лет. Через первые
20 дней иммуноглобулин IgG находился на уровне 5.5, что сопоставимо с уровнем
для людей, перенёсших тяжёлую форму заболевания, который составляет в среднем 6.
Но после второй инъекции он поднялся на уровень 10 IgG. Специальный тест в НИЦ
им. Гамалеи также показал сначала значение 1:1600, а затем 1:3200, что является
очень высоким уровнем антител. С такими показателями я могу быть донором плазмы
крови.
– Эксперимент идёт к завершению, всё пока удачно. Когда прививку сможет сделать
любой?
– Первая фаза испытаний уже успешно завершена, вторая завершится к 3 августа.
После этого в России и сразу в нескольких странах начнётся третья фаза
испытаний. Ожидаем одобрения со стороны регуляторов в РФ уже в августе и сразу
после этого планируем начать массовое производство. Одобрение в других
странах-партнёрах ожидаем в сентябре. Массовое производство этой вакцины сможет
остановить потенциальную вторую волну пандемии. В первую очередь мы закроем
потребности России, но международное сотрудничество является важной частью
разработки и проведения клинических испытаний. Планируем провести третью фазу
клинических исследований также на Ближнем Востоке, включая 100 человек в ОАЭ,
Турции, Африке и других странах. Видим высокий интерес к вакцине в мире.
– О каких объёмах речь?
– Благодаря производству этой вакцины в рамках партнёрств в нескольких странах
мы рассчитываем выйти на объём до 200 млн доз к концу года, 30 млн доз будет
произведено в России, а остальное с помощью международных партнёрств по всему
миру. Всего, по нашей оценке, в нашей стране в ближайшее время необходимо
вакцинировать 40–50 млн человек. По нашим оценкам, в 2021 г. будет произведено
более 3 млрд доз вакцин на основе аденовирусных векторов, что позволит миру
эффективно бороться с коронавирусом.
Российская вакцина также будет поставляться с уникальным запатентованным тестом,
который идентифицирует в организме человека особые антитела, атакующие
шиповидные отростки коронавируса. Таким образом, эффект от вакцины и
продолжительность её действия будет легко определить, измерив увеличение
количества эффективных антител к корона вирусу. – Вы испытали вакцину на себе.
Какие аргументы для наших соотечественников, чтобы не боялись делать прививку?
– Клинические испытания скоро закончатся. И надеемся, что после внимательного
изучения их результатов будет одобрено использование вакцины, которое обеспечит
иммунизацию населения. Сейчас мы имеем очень убедительные результаты
доклинических исследований. А также пример тысяч людей, которые успешно получили
защиту от Эболы на основании аналогичной вакцины. Вакцина, испытания которой
сейчас завершаются, формирует иммунный ответ организма через появление большого
количества антител и клеточного иммунитета. Никто из участвовавших в испытаниях
добровольцев не был инфицирован коронавирусом.
***
фото: Забор крови на анализ у добровольцев, на которых испытывалась новая
вакцина от коронавируса. Главный военный клинический госпиталь имени Бурденко.
Фото пресс-службы Минобороны РФ/РИА Новости;"
